Course,Form,Language,School,Data Type,2010,2011,2012,2013,2014
English Lang Arts 9 KAE,1,English,3335,% Acceptable,100,100,66.7,null,100
English Lang Arts 9 KAE,1,English,3335,% Excellence,20,0,33.3,null,0
English Lang Arts 9 KAE,1,English,3335,Mark,69.4,71,67.3,null,72.5
English Language Arts 9,1,English,3335,% Acceptable,96.4,91.8,94.1,88.9,90.7
English Language Arts 9,1,English,3335,% Excellence,12.5,12.2,14.7,28.9,14
English Language Arts 9,1,English,3335,Mark,68.1,68.8,68.3,69.9,67
Mathematics 9,1,All,3335,% Acceptable,91.1,77.6,88.2,84.4,88.4
Mathematics 9,1,All,3335,% Excellence,28.6,30.6,23.5,28.9,30.2
Mathematics 9,1,All,3335,Mark,70.2,73.4,64.5,66.3,66.8
Mathematics 9 KAE,1,All,3335,% Acceptable,100,100,66.7,null,100
Mathematics 9 KAE,1,All,3335,% Excellence,20,0,0,null,0
Mathematics 9 KAE,1,All,3335,Mark,75.2,78,60.7,null,66.7
Science 9,1,All,3335,% Acceptable,92.7,91.8,88.2,88.9,90.9
Science 9,1,All,3335,% Excellence,7.3,20.4,14.7,28.9,22.7
Science 9,1,All,3335,Mark,66.5,67.3,61.5,69.5,70.3
Science 9 KAE,1,All,3335,% Acceptable,60,100,66.7,null,100
Science 9 KAE,1,All,3335,% Excellence,0,0,33.3,null,0
Science 9 KAE,1,All,3335,Mark,62.8,80,68,null,59
Social Studies 9,1,All,3335,% Acceptable,83.9,83.7,88.2,75.6,75
Social Studies 9,1,All,3335,% Excellence,5.4,28.6,20.6,28.9,15.9
Social Studies 9,1,All,3335,Mark,67.1,69.4,69.7,68.1,65.3
Social Studies 9 KAE,1,All,3335,% Acceptable,100,100,66.7,null,50
Social Studies 9 KAE,1,All,3335,% Excellence,20,0,33.3,null,0
Social Studies 9 KAE,1,All,3335,Mark,70,80,72,null,55
English Language Arts 3,1,English,3336,% Acceptable,94.4,98.5,100,90.4,null
English Language Arts 3,1,English,3336,% Excellence,27.8,28.4,33.3,19.2,null
English Language Arts 3,1,English,3336,Mark,72.2,74.3,73.9,69.4,null
Mathematics 3,1,All,3336,% Acceptable,88.9,92.4,86.1,76.9,null
Mathematics 3,1,All,3336,% Excellence,30.6,39.4,30.6,19.2,null
Mathematics 3,1,All,3336,Mark,75.3,79.8,69.9,67.6,null
English Language Arts 6,1,English,3336,% Acceptable,94.6,95.7,95.7,100,96.4
English Language Arts 6,1,English,3336,% Excellence,26.8,15.2,19.1,26.8,28.6
English Language Arts 6,1,English,3336,Mark,69.8,66.2,68.4,70.9,72.3
Mathematics 6,1,All,3336,% Acceptable,94.6,95.5,84.4,90.2,93
Mathematics 6,1,All,3336,% Excellence,21.4,22.7,17.8,17.1,19.3
Mathematics 6,1,All,3336,Mark,73.7,70.6,62.3,57.7,62.8
Science 6,1,All,3336,% Acceptable,98.2,97.7,93.5,92.9,93
Science 6,1,All,3336,% Excellence,41.1,47.7,37,38.1,47.4
Science 6,1,All,3336,Mark,73.9,77.7,73.7,71.8,73.8
Social Studies 6,1,All,3336,% Acceptable,85.7,87,84.4,100,90.9
Social Studies 6,1,All,3336,% Excellence,28.6,28.3,37.8,32.5,25.5
Social Studies 6,1,All,3336,Mark,73.1,73.9,71.6,73.5,73.1
Biology 30,,All,3339,% Acceptable,100,100,100,100,88.9
Biology 30,,All,3339,% Excellence,51.7,34.1,15.6,40,29.6
Biology 30,,All,3339,Course Mark,83.7,85.4,73.6,82,72.6
Biology 30,,All,3339,Exam Mark,69.7,63.3,62.1,69,59.7
Chemistry 30,,All,3339,% Acceptable,96.4,94.4,89.6,91.3,86.4
Chemistry 30,,All,3339,% Excellence,17.9,30.6,18.8,17.4,13.6
Chemistry 30,,All,3339,Course Mark,73.6,82,72.7,78.7,75.7
Chemistry 30,,All,3339,Exam Mark,63.3,64.9,55.1,58,56.3
English Lang Arts 30-1,,All,3339,% Acceptable,100,97.1,100,100,100
English Lang Arts 30-1,,All,3339,% Excellence,6.5,5.9,24.3,29.5,11.1
English Lang Arts 30-1,,All,3339,Course Mark,71.5,76.6,75.6,75.7,73.1
English Lang Arts 30-1,,All,3339,Exam Mark,60.2,61.2,65.1,64.2,62.6
English Lang Arts 30-2,,All,3339,% Acceptable,100,100,100,100,100
English Lang Arts 30-2,,All,3339,% Excellence,0,0,20,0,20
English Lang Arts 30-2,,All,3339,Course Mark,68.8,66.4,72.4,75,73
English Lang Arts 30-2,,All,3339,Exam Mark,64.9,62.8,66.2,65.5,77.2
Mathematics 30-1,,All,3339,% Acceptable,null,null,null,81.8,78.3
Mathematics 30-1,,All,3339,% Excellence,null,null,null,22.7,4.3
Mathematics 30-1,,All,3339,Course Mark,null,null,null,71.6,71.7
Mathematics 30-1,,All,3339,Exam Mark,null,null,null,58,46.7
Mathematics 30-2,,All,3339,% Acceptable,null,null,null,84.6,93.3
Mathematics 30-2,,All,3339,% Excellence,null,null,null,15.4,33.3
Mathematics 30-2,,All,3339,Course Mark,null,null,null,71.9,71.7
Mathematics 30-2,,All,3339,Exam Mark,null,null,null,63.2,64.1
Physics 30,,All,3339,% Acceptable,92.9,95.2,94.4,94.1,100
Physics 30,,All,3339,% Excellence,14.3,33.3,50,35.3,28.6
Physics 30,,All,3339,Course Mark,71,74.4,76.1,74.7,77.9
Physics 30,,All,3339,Exam Mark,59.6,66.6,67.9,69.4,65.1
Science 30,,All,3339,% Acceptable,100,null,100,null,null
Science 30,,All,3339,% Excellence,50,null,28.6,null,null
Science 30,,All,3339,Course Mark,79.3,null,70.9,null,null
Science 30,,All,3339,Exam Mark,71,null,64.3,null,null
Social Studies 30-1,,All,3339,% Acceptable,100,100,95.5,100,100
Social Studies 30-1,,All,3339,% Excellence,13.3,13,27.3,46.7,43.8
Social Studies 30-1,,All,3339,Course Mark,72,71.6,73.3,88.3,75.6
Social Studies 30-1,,All,3339,Exam Mark,64,58.8,66.5,66.2,72.2
Social Studies 30-2,,All,3339,% Acceptable,80,100,100,100,null
Social Studies 30-2,,All,3339,% Excellence,20,25,0,25,null
Social Studies 30-2,,All,3339,Course Mark,66,76.8,67.2,70,null
Social Studies 30-2,,All,3339,Exam Mark,58.2,72.3,63,56.5,null
Biology 30,,All,3340,% Acceptable,95.4,96.9,94.7,95.8,92.7
Biology 30,,All,3340,% Excellence,28.2,29.6,19,33.6,29.8
Biology 30,,All,3340,Course Mark,73.4,73.4,70.1,72.9,71.5
Biology 30,,All,3340,Exam Mark,67.9,69.3,63.8,70,68.7
Chemistry 30,,All,3340,% Acceptable,89.9,82.3,89.9,89.1,93.9
Chemistry 30,,All,3340,% Excellence,29.8,19.9,29.1,30.3,35.1
Chemistry 30,,All,3340,Course Mark,72.1,68.6,71.1,72.2,73.4
Chemistry 30,,All,3340,Exam Mark,66.4,61.6,65.2,65.1,68.1
English Lang Arts 30-1,,All,3340,% Acceptable,98.9,98.7,98.4,99.2,100
English Lang Arts 30-1,,All,3340,% Excellence,18.1,17.7,15.9,18.4,21.2
English Lang Arts 30-1,,All,3340,Course Mark,73.1,71,72.1,71.3,72.1
English Lang Arts 30-1,,All,3340,Exam Mark,65.4,66.4,66.6,68.6,70.2
English Lang Arts 30-2,,All,3340,% Acceptable,97,99.1,97.2,98.1,97.6
English Lang Arts 30-2,,All,3340,% Excellence,10,6.5,19.4,9.3,9.5
English Lang Arts 30-2,,All,3340,Course Mark,64.6,61.6,68.8,66.3,65.2
English Lang Arts 30-2,,All,3340,Exam Mark,66.8,70.2,70.4,71.4,71.2
Mathematics 30-1,,All,3340,% Acceptable,null,null,null,90.3,90.4
Mathematics 30-1,,All,3340,% Excellence,null,null,null,46.5,32.2
Mathematics 30-1,,All,3340,Course Mark,null,null,null,74.6,74.3
Mathematics 30-1,,All,3340,Exam Mark,null,null,null,71.9,66.2
Mathematics 30-2,,All,3340,% Acceptable,null,null,null,90.7,89.7
Mathematics 30-2,,All,3340,% Excellence,null,null,null,11.6,17.8
Mathematics 30-2,,All,3340,Course Mark,null,null,null,65.7,68.6
Mathematics 30-2,,All,3340,Exam Mark,null,null,null,64.4,64.3
Physics 30,,All,3340,% Acceptable,90.5,88.6,89.9,94.9,96.2
Physics 30,,All,3340,% Excellence,15.2,18.4,25.7,35.6,39.7
Physics 30,,All,3340,Course Mark,75.1,72.9,71.8,74.7,75.3
Physics 30,,All,3340,Exam Mark,57.4,55.8,64.2,70.2,70
Science 30,,All,3340,% Acceptable,100,87,96.7,91.5,95.5
Science 30,,All,3340,% Excellence,10,13,16.7,27.7,28.8
Science 30,,All,3340,Course Mark,65.2,62.9,68.6,68.4,68.2
Science 30,,All,3340,Exam Mark,63,65.1,64.9,70.9,69.9
Social Studies 30-1,,All,3340,% Acceptable,97.8,98.3,100,97.8,98.2
Social Studies 30-1,,All,3340,% Excellence,14.3,20.5,21.2,21.6,18.3
Social Studies 30-1,,All,3340,Course Mark,71.1,72.1,73.2,71.6,71.4
Social Studies 30-1,,All,3340,Exam Mark,65.4,65.8,65.9,67,66
Social Studies 30-2,,All,3340,% Acceptable,96.9,97.9,98.1,99.1,91.3
Social Studies 30-2,,All,3340,% Excellence,2,19.6,18.9,20.5,9.6
Social Studies 30-2,,All,3340,Course Mark,63.7,70.4,69,70.4,66.9
Social Studies 30-2,,All,3340,Exam Mark,63,67.8,67.7,68.3,66.4
English Language Arts 3,1,English,3341,% Acceptable,94.7,98,91.5,98.1,null
English Language Arts 3,1,English,3341,% Excellence,15.8,23.5,17,23.1,null
English Language Arts 3,1,English,3341,Mark,67.6,74.3,67.6,71.8,null
Mathematics 3,1,All,3341,% Acceptable,78.9,84.9,85.4,92.3,null
Mathematics 3,1,All,3341,% Excellence,7.9,30.2,27.1,26.9,null
Mathematics 3,1,All,3341,Mark,64.1,74.7,72.7,73.7,null
English Language Arts 6,1,English,3341,% Acceptable,96.5,100,95.3,87.2,96.5
English Language Arts 6,1,English,3341,% Excellence,22.8,19.2,18.8,15.4,19.3
English Language Arts 6,1,English,3341,Mark,68.8,68.6,68.9,65,69.7
Mathematics 6,1,All,3341,% Acceptable,89.5,94.1,93.5,86.5,91.1
Mathematics 6,1,All,3341,% Excellence,12.3,21.6,30.6,10.8,23.2
Mathematics 6,1,All,3341,Mark,71.2,70.9,69.6,56.2,61.8
Science 6,1,All,3341,% Acceptable,91.2,94.2,95.4,89.7,89.5
Science 6,1,All,3341,% Excellence,33.3,44.2,36.9,30.8,29.8
Science 6,1,All,3341,Mark,69.4,76.5,74.2,65.5,69.4
Social Studies 6,1,All,3341,% Acceptable,87.7,92.3,89.2,79.5,86
Social Studies 6,1,All,3341,% Excellence,21.1,46.2,23.1,15.4,21.1
Social Studies 6,1,All,3341,Mark,72.5,78.4,69,62.6,67.2
English Language Arts 9,1,English,3395,% Acceptable,97.6,97.7,98.9,98.9,96.6
English Language Arts 9,1,English,3395,% Excellence,27.7,37.9,42.9,35.6,27.6
English Language Arts 9,1,English,3395,Mark,72.1,76.2,77.1,73.7,73.4
Mathematics 9,1,All,3395,% Acceptable,89.2,95.4,92.3,94.3,94.2
Mathematics 9,1,All,3395,% Excellence,31.3,25.3,38.5,38.6,41.9
Mathematics 9,1,All,3395,Mark,71.1,74.6,69.1,74.3,73.1
Science 9,1,All,3395,% Acceptable,96.4,94.3,97.8,96.6,95.5
Science 9,1,All,3395,% Excellence,34.5,29.9,41.8,48.9,45.5
Science 9,1,All,3395,Mark,75.4,73.7,74.4,78,76.9
Social Studies 9,1,All,3395,% Acceptable,91.6,89.7,95.6,93.1,89.8
Social Studies 9,1,All,3395,% Excellence,31.3,34.5,29.7,42.5,43.2
Social Studies 9,1,All,3395,Mark,76.1,71.8,74.4,77.6,73.7
Biology 30,,All,3395,% Acceptable,96.6,98,92.7,98.5,94.1
Biology 30,,All,3395,% Excellence,44.8,32.7,41.8,40.3,35.3
Biology 30,,All,3395,Course Mark,78.2,75.1,73.1,74.9,74.3
Biology 30,,All,3395,Exam Mark,71.8,73.2,72.5,74.4,72.3
Chemistry 30,,All,3395,% Acceptable,95.8,93.2,94.1,80.9,80
Chemistry 30,,All,3395,% Excellence,35.4,34.1,26.5,38.3,11.1
Chemistry 30,,All,3395,Course Mark,77,74.7,75.8,71.1,66.5
Chemistry 30,,All,3395,Exam Mark,69.4,65.4,64.7,66.2,56.2
English Lang Arts 30-1,,All,3395,% Acceptable,100,100,100,100,100
English Lang Arts 30-1,,All,3395,% Excellence,20,34.4,29,23.2,21.3
English Lang Arts 30-1,,All,3395,Course Mark,73.1,74.1,74.6,74.2,72
English Lang Arts 30-1,,All,3395,Exam Mark,67.7,71.5,72.9,71.8,69.9
English Lang Arts 30-2,,All,3395,% Acceptable,100,100,100,100,83.3
English Lang Arts 30-2,,All,3395,% Excellence,0,0,0,8.3,0
English Lang Arts 30-2,,All,3395,Course Mark,51.5,60.5,69.2,66.7,52.5
English Lang Arts 30-2,,All,3395,Exam Mark,61,60,73.2,70.1,71.5
Mathematics 30-1,,All,3395,% Acceptable,null,null,null,95.8,91.7
Mathematics 30-1,,All,3395,% Excellence,null,null,null,47.9,20
Mathematics 30-1,,All,3395,Course Mark,null,null,null,77.8,73.1
Mathematics 30-1,,All,3395,Exam Mark,null,null,null,74.4,64.3
Mathematics 30-2,,All,3395,% Acceptable,null,null,null,88,91.3
Mathematics 30-2,,All,3395,% Excellence,null,null,null,8,13
Mathematics 30-2,,All,3395,Course Mark,null,null,null,59.8,67.3
Mathematics 30-2,,All,3395,Exam Mark,null,null,null,58.2,60.1
Physics 30,,All,3395,% Acceptable,95.7,100,92.3,95.7,92.9
Physics 30,,All,3395,% Excellence,21.7,52.4,15.4,34.8,21.4
Physics 30,,All,3395,Course Mark,75.9,80.7,69.2,76.3,64.5
Physics 30,,All,3395,Exam Mark,62.3,74.8,60.6,69.7,60.7
Social Studies 30-1,,All,3395,% Acceptable,98.6,98.4,96.6,100,100
Social Studies 30-1,,All,3395,% Excellence,14.9,32.8,32.2,23.8,17.3
Social Studies 30-1,,All,3395,Course Mark,73.4,77.1,75.7,73.7,73.6
Social Studies 30-1,,All,3395,Exam Mark,62.7,67.7,69.4,67.1,64.1
Social Studies 30-2,,All,3395,% Acceptable,100,100,100,100,88.9
Social Studies 30-2,,All,3395,% Excellence,0,66.7,18.2,27.8,0
Social Studies 30-2,,All,3395,Course Mark,76.5,84.2,71.3,72.1,63
Social Studies 30-2,,All,3395,Exam Mark,69.5,81.3,70.9,68,58.3
English Language Arts 3,1,English,3397,% Acceptable,80.8,100,90,96.2,null
English Language Arts 3,1,English,3397,% Excellence,15.4,26.3,23.3,23.1,null
English Language Arts 3,1,English,3397,Mark,65.6,71.1,69.3,71.8,null
Mathematics 3,1,All,3397,% Acceptable,92.3,84.2,80,88.5,null
Mathematics 3,1,All,3397,% Excellence,11.5,15.8,23.3,19.2,null
Mathematics 3,1,All,3397,Mark,71.8,71.6,70.3,71,null
English Language Arts 6,1,English,3397,% Acceptable,100,100,90.3,89.3,100
English Language Arts 6,1,English,3397,% Excellence,19,26.1,12.9,10.7,21.7
English Language Arts 6,1,English,3397,Mark,70.7,66.7,64,67.8,72.2
Mathematics 6,1,All,3397,% Acceptable,90.5,96,93.5,96.4,90.9
Mathematics 6,1,All,3397,% Excellence,19,32,19.4,21.4,13.6
Mathematics 6,1,All,3397,Mark,73.7,67.9,64.3,60.4,59.5
Science 6,1,All,3397,% Acceptable,95.2,92,96.8,92.9,100
Science 6,1,All,3397,% Excellence,57.1,44,48.4,32.1,36.4
Science 6,1,All,3397,Mark,77.8,74.6,76,69.1,71.5
Social Studies 6,1,All,3397,% Acceptable,85.7,92,83.9,89.3,81.8
Social Studies 6,1,All,3397,% Excellence,23.8,20,9.7,10.7,13.6
Social Studies 6,1,All,3397,Mark,72,71.1,63.3,65.7,65.5
English Language Arts 9,1,English,3397,% Acceptable,100,100,94.1,100,100
English Language Arts 9,1,English,3397,% Excellence,35,17.4,35.3,33.3,38.1
English Language Arts 9,1,English,3397,Mark,72.6,72.7,76.1,76.2,74.3
Mathematics 9,1,All,3397,% Acceptable,70,91.3,94.1,100,81.8
Mathematics 9,1,All,3397,% Excellence,30,39.1,47.1,37.5,31.8
Mathematics 9,1,All,3397,Mark,65,79.8,72.7,74.1,69.6
Science 9,1,All,3397,% Acceptable,100,100,94.1,100,100
Science 9,1,All,3397,% Excellence,35,34.8,52.9,44,61.9
Science 9,1,All,3397,Mark,77.5,75.8,77.6,78.7,80.3
Social Studies 9,1,All,3397,% Acceptable,90,100,94.1,88,81
Social Studies 9,1,All,3397,% Excellence,25,30.4,35.3,36,33.3
Social Studies 9,1,All,3397,Mark,75.1,76.1,76,76.9,71.2
English Language Arts 3,1,English,3401,% Acceptable,80,100,100,100,null
English Language Arts 3,1,English,3401,% Excellence,0,25,33.3,0,null
English Language Arts 3,1,English,3401,Mark,61.6,68.3,75.7,68.4,null
Mathematics 3,1,All,3401,% Acceptable,100,91.7,100,100,null
Mathematics 3,1,All,3401,% Excellence,0,41.7,55.6,50,null
Mathematics 3,1,All,3401,Mark,74,77.1,81.4,77.2,null
English Language Arts 6,1,English,3401,% Acceptable,80,83.3,91.7,100,90
English Language Arts 6,1,English,3401,% Excellence,20,16.7,0,0,0
English Language Arts 6,1,English,3401,Mark,63.8,59,62.1,66,61.9
Mathematics 6,1,All,3401,% Acceptable,73.3,66.7,75,100,63.6
Mathematics 6,1,All,3401,% Excellence,6.7,0,0,0,9.1
Mathematics 6,1,All,3401,Mark,64.4,53,54.3,50,49.1
Science 6,1,All,3401,% Acceptable,93.3,66.7,83.3,100,80
Science 6,1,All,3401,% Excellence,13.3,16.7,25,0,10
Science 6,1,All,3401,Mark,63.6,54.3,65.8,65,58.2
Social Studies 6,1,All,3401,% Acceptable,60,33.3,83.3,100,60
Social Studies 6,1,All,3401,% Excellence,0,0,8.3,0,0
Social Studies 6,1,All,3401,Mark,60.9,50.7,58.2,62,52.4
English Lang Arts 9 KAE,1,English,3401,% Acceptable,100,100,66.7,100,null
English Lang Arts 9 KAE,1,English,3401,Mark,79,66.5,65,60.5,null
English Language Arts 9,1,English,3401,% Acceptable,63.6,66.7,75,88.9,88.9
English Language Arts 9,1,English,3401,% Excellence,18.2,0,0,22.2,0
English Language Arts 9,1,English,3401,Mark,60.2,60,57,70.2,62.8
Mathematics 9,1,All,3401,% Acceptable,44.4,37.5,25,85.7,55.6
Mathematics 9,1,All,3401,% Excellence,0,12.5,0,28.6,0
Mathematics 9,1,All,3401,Mark,43.5,58,42.5,69.1,48.2
Mathematics 9 KAE,1,All,3401,% Acceptable,100,33.3,66.7,100,100
Mathematics 9 KAE,1,All,3401,% Excellence,0,0,0,33.3,100
Mathematics 9 KAE,1,All,3401,Mark,69.3,48,63.3,78.3,80
Science 9,1,All,3401,% Acceptable,58.3,60,60,81.8,55.6
Science 9,1,All,3401,% Excellence,0,10,0,18.2,0
Science 9,1,All,3401,Mark,52.3,55.5,49.1,64.5,58.4
Science 9 KAE,1,All,3401,% Acceptable,null,0,100,50,null
Science 9 KAE,1,All,3401,Mark,null,44,62,58,null
Social Studies 9,1,All,3401,% Acceptable,81.8,66.7,75,88.9,33.3
Social Studies 9,1,All,3401,% Excellence,27.3,33.3,25,33.3,0
Social Studies 9,1,All,3401,Mark,68,66.7,56.5,74,53.6
Social Studies 9 KAE,1,All,3401,% Acceptable,100,50,100,100,null
Social Studies 9 KAE,1,All,3401,% Excellence,100,0,0,0,null
Social Studies 9 KAE,1,All,3401,Mark,84,51,74,62.7,null
Biology 30,,All,3401,% Acceptable,100,85.7,80,100,null
Biology 30,,All,3401,% Excellence,18.2,28.6,0,50,null
Biology 30,,All,3401,Course Mark,69.2,70,65.4,80.5,null
Biology 30,,All,3401,Exam Mark,61.8,62.7,52.4,69,null
Chemistry 30,,All,3401,% Acceptable,83.3,71.4,60,50,100
Chemistry 30,,All,3401,% Excellence,0,28.6,0,50,50
Chemistry 30,,All,3401,Course Mark,61,65,60.2,70,81
Chemistry 30,,All,3401,Exam Mark,54.5,51.1,40.6,55,72.5
English Lang Arts 30-1,,All,3401,% Acceptable,93.3,100,90,100,100
English Lang Arts 30-1,,All,3401,% Excellence,6.7,12.5,10,0,0
English Lang Arts 30-1,,All,3401,Course Mark,70.8,69.9,67.3,82.2,70
English Lang Arts 30-1,,All,3401,Exam Mark,55.9,58.4,58.6,66,55
English Lang Arts 30-2,,All,3401,% Acceptable,null,100,100,100,100
English Lang Arts 30-2,,All,3401,Course Mark,null,59.3,72.5,55.7,58.8
English Lang Arts 30-2,,All,3401,Exam Mark,null,68.8,75,67,66.5
Mathematics 30-1,,All,3401,% Acceptable,null,null,null,100,33.3
Mathematics 30-1,,All,3401,Course Mark,null,null,null,90,69.7
Mathematics 30-1,,All,3401,Exam Mark,null,null,null,69,43.7
Mathematics 30-2,,All,3401,% Acceptable,null,null,null,100,null
Mathematics 30-2,,All,3401,Course Mark,null,null,null,66.5,null
Mathematics 30-2,,All,3401,Exam Mark,null,null,null,50.5,null
Physics 30,,All,3401,% Acceptable,88.9,66.7,100,100,100
Physics 30,,All,3401,% Excellence,0,0,0,100,0
Physics 30,,All,3401,Course Mark,71.3,74.5,67,90,56
Physics 30,,All,3401,Exam Mark,45.3,46.3,36,76,54
Social Studies 30-1,,All,3401,% Acceptable,80,100,87.5,100,100
Social Studies 30-1,,All,3401,% Excellence,6.7,28.6,0,66.7,0
Social Studies 30-1,,All,3401,Course Mark,69.7,74,65,84,72.6
Social Studies 30-1,,All,3401,Exam Mark,52.3,66.9,49.8,78.7,61.6
Social Studies 30-2,,All,3401,% Acceptable,null,100,80,100,85.7
Social Studies 30-2,,All,3401,Course Mark,null,64.3,55,63.8,62.3
Social Studies 30-2,,All,3401,Exam Mark,null,70,53.4,63.8,60
English Lang Arts 9 KAE,1,English,3404,% Acceptable,100,null,null,null,null
English Lang Arts 9 KAE,1,English,3404,Mark,68,null,null,null,null
English Language Arts 9,1,English,3404,% Acceptable,92.3,92.7,81.8,78,71.4
English Language Arts 9,1,English,3404,% Excellence,15.4,7.3,9.1,12.2,11.4
English Language Arts 9,1,English,3404,Mark,63.3,62.6,62.3,62.1,60.4
Mathematics 9,1,English,3404,% Acceptable,62.2,55,42.4,56.4,58.8
Mathematics 9,1,All,3404,% Acceptable,62.2,55,42.4,56.4,57.1
Mathematics 9,1,English,3404,% Excellence,8.1,5,6.1,5.1,5.9
Mathematics 9,1,All,3404,% Excellence,8.1,5,6.1,5.1,5.7
Mathematics 9,1,English,3404,Mark,53.4,57.5,43.5,48.6,50.4
Mathematics 9,1,All,3404,Mark,53.4,57.5,43.5,48.6,50
Mathematics 9 (Fr),1,French,3404,Mark,null,null,null,null,38
Mathematics 9 KAE,1,All,3404,% Acceptable,100,null,null,null,null
Mathematics 9 KAE,1,All,3404,Mark,74,null,null,null,null
Science 9,1,All,3404,% Acceptable,70,73.2,69.7,70,74.3
Science 9,1,All,3404,% Excellence,10,12.2,6.1,17.5,20
Science 9,1,All,3404,Mark,59.9,58.5,55.7,56.6,62.9
Social Studies 9,1,English,3404,% Acceptable,75,70.7,69.7,46.3,71.4
Social Studies 9,1,All,3404,% Acceptable,75,70.7,69.7,46.3,69.4
Social Studies 9,1,English,3404,% Excellence,20,19.5,18.2,17.1,17.1
Social Studies 9,1,All,3404,% Excellence,20,19.5,18.2,17.1,16.7
Social Studies 9,1,English,3404,Mark,64.9,60.9,60.8,56.9,61.7
Social Studies 9,1,All,3404,Mark,64.9,60.9,60.8,56.9,61.2
Biology 30,,All,3404,% Acceptable,89.5,88.9,85.7,78.3,100
Biology 30,,All,3404,% Excellence,0,11.1,21.4,13,22.2
Biology 30,,All,3404,Course Mark,61,65.4,67.6,65.5,73
Biology 30,,All,3404,Exam Mark,56.9,58.6,65.6,58.4,68.7
Chemistry 30,,All,3404,% Acceptable,60,42.9,78.9,81.3,85.7
Chemistry 30,,All,3404,% Excellence,0,0,5.3,18.8,21.4
Chemistry 30,,All,3404,Course Mark,58.2,51,62.4,64.1,64.7
Chemistry 30,,All,3404,Exam Mark,45.7,38.1,54.6,55.1,63.8
English Lang Arts 30-1,,All,3404,% Acceptable,100,94.7,96,85.7,93.3
English Lang Arts 30-1,,All,3404,% Excellence,0,5.3,8,9.5,6.7
English Lang Arts 30-1,,All,3404,Course Mark,67,68.6,67.2,62.6,72.5
English Lang Arts 30-1,,All,3404,Exam Mark,56.7,59.4,58.1,58.1,62.2
English Lang Arts 30-2,,All,3404,% Acceptable,92.3,100,75,100,100
English Lang Arts 30-2,,All,3404,% Excellence,15.4,0,8.3,8.3,4.5
English Lang Arts 30-2,,All,3404,Course Mark,61.1,59.3,52.3,54.4,58.5
English Lang Arts 30-2,,All,3404,Exam Mark,64.1,63.3,63.6,65.9,70.3
Mathematics 30-1,,All,3404,% Acceptable,null,null,null,68.8,64.3
Mathematics 30-1,,All,3404,% Excellence,null,null,null,12.5,21.4
Mathematics 30-1,,All,3404,Course Mark,null,null,null,66.3,69.6
Mathematics 30-1,,All,3404,Exam Mark,null,null,null,50.4,49.1
Mathematics 30-2,,All,3404,% Acceptable,null,null,null,62.5,40
Mathematics 30-2,,All,3404,% Excellence,null,null,null,12.5,10
Mathematics 30-2,,All,3404,Course Mark,null,null,null,64.1,64.2
Mathematics 30-2,,All,3404,Exam Mark,null,null,null,45.4,44.5
Physics 30,,All,3404,% Acceptable,90.9,44.4,90,90.9,94.4
Physics 30,,All,3404,% Excellence,0,0,10,18.2,22.2
Physics 30,,All,3404,Course Mark,62.3,59.8,66.4,69.5,77.8
Physics 30,,All,3404,Exam Mark,46.7,44.9,56.4,60.4,65.4
Social Studies 30-1,,All,3404,% Acceptable,100,100,100,100,100
Social Studies 30-1,,All,3404,% Excellence,0,7.7,16.7,12.5,0
Social Studies 30-1,,All,3404,Course Mark,66.3,66.3,69.3,75.3,70.6
Social Studies 30-1,,All,3404,Exam Mark,57.8,55.6,64.4,65.4,63.9
Social Studies 30-2,,All,3404,% Acceptable,88.9,94.1,63.6,100,100
Social Studies 30-2,,All,3404,% Excellence,3.7,11.8,4.5,4,5
Social Studies 30-2,,All,3404,Course Mark,61.5,62.8,50.6,59.3,64.7
Social Studies 30-2,,All,3404,Exam Mark,64.9,62,55.9,67,62.9
English Language Arts 3,1,English,3405,% Acceptable,88.6,97.6,96.9,87.5,null
English Language Arts 3,1,English,3405,% Excellence,28.6,17.1,37.5,17.5,null
English Language Arts 3,1,English,3405,Mark,71.1,70.7,74.1,66.8,null
Mathematics 3,1,All,3405,% Acceptable,85.7,87.8,90.6,67.5,null
Mathematics 3,1,All,3405,% Excellence,31.4,31.7,31.3,15,null
Mathematics 3,1,All,3405,Mark,72.2,73.3,74.2,60.8,null
English Language Arts 6,1,English,3405,% Acceptable,90.5,97.1,90.3,91.2,100
English Language Arts 6,1,English,3405,% Excellence,16.7,11.8,9.7,17.6,8.1
English Language Arts 6,1,English,3405,Mark,65.4,65,64.9,64.7,66.5
Mathematics 6,1,All,3405,% Acceptable,78.6,82.4,93.5,82.4,83.8
Mathematics 6,1,All,3405,% Excellence,4.8,17.6,6.5,26.5,8.1
Mathematics 6,1,All,3405,Mark,63.2,63.1,59.6,59.5,54.3
Science 6,1,All,3405,% Acceptable,90.5,88.2,96.8,85.3,89.2
Science 6,1,All,3405,% Excellence,14.3,17.6,32.3,26.5,8.1
Science 6,1,All,3405,Mark,63.2,67.1,74.1,64.9,60.8
Social Studies 6,1,All,3405,% Acceptable,76.2,85.3,83.9,85.3,86.5
Social Studies 6,1,All,3405,% Excellence,14.3,17.6,22.6,17.6,2.7
Social Studies 6,1,All,3405,Mark,65.9,69.1,67.9,62.5,59.8
English Language Arts 3,1,English,3406,% Acceptable,88.5,71.4,65.2,82.6,null
