Course,Form,Language,School,Data Type,2010,2011,2012,2013,2014
Social Studies 30-2,,All,3307,% Excellence,null,8.1,14,17.6,14.3
Social Studies 30-2,,All,3307,Course Mark,null,65.9,67,67.5,65.2
Social Studies 30-2,,All,3307,Exam Mark,null,60.4,64.2,60.9,62.3
Biology 30,,All,3310,% Acceptable,100,91.7,100,100,100
Biology 30,,All,3310,% Excellence,14.3,16.7,20,16.7,50
Biology 30,,All,3310,Course Mark,74.1,80.4,69,71.3,81.3
Biology 30,,All,3310,Exam Mark,46.6,51.5,64,63.2,70
Chemistry 30,,All,3310,% Acceptable,75,0,100,100,100
Chemistry 30,,All,3310,% Excellence,0,0,0,33.3,50
Chemistry 30,,All,3310,Course Mark,78.3,62.5,70,80,87.5
Chemistry 30,,All,3310,Exam Mark,36,25,62,69.7,73.8
English Lang Arts 30-1,,All,3310,% Acceptable,100,100,100,100,100
English Lang Arts 30-1,,All,3310,% Excellence,11.1,18.2,0,8.3,10
English Lang Arts 30-1,,All,3310,Course Mark,69.2,75,74.8,70,79
English Lang Arts 30-1,,All,3310,Exam Mark,57.8,58.2,61.7,59.8,63
English Lang Arts 30-2,,All,3310,% Acceptable,90.9,100,100,100,92.3
English Lang Arts 30-2,,All,3310,% Excellence,9.1,13,0,28.6,23.1
English Lang Arts 30-2,,All,3310,Course Mark,65.7,70.3,64.2,73.9,71.5
English Lang Arts 30-2,,All,3310,Exam Mark,63.7,65.1,67.5,71.9,66.2
Mathematics 30-1,,All,3310,% Acceptable,null,null,null,100,100
Mathematics 30-1,,All,3310,% Excellence,null,null,null,0,25
Mathematics 30-1,,All,3310,Course Mark,null,null,null,82.5,77.5
Mathematics 30-1,,All,3310,Exam Mark,null,null,null,61,52
Mathematics 30-2,,All,3310,% Acceptable,null,null,null,100,87.5
Mathematics 30-2,,All,3310,% Excellence,null,null,null,50,37.5
Mathematics 30-2,,All,3310,Course Mark,null,null,null,77,70.6
Mathematics 30-2,,All,3310,Exam Mark,null,null,null,66.5,65.9
Physics 30,,All,3310,% Acceptable,100,null,100,100,50
Physics 30,,All,3310,Course Mark,62.5,null,72,65,42.5
Physics 30,,All,3310,Exam Mark,61.5,null,36,68,37
Science 30,,All,3310,% Acceptable,100,100,100,100,100
Science 30,,All,3310,% Excellence,0,50,33.3,20,50
Science 30,,All,3310,Course Mark,60,81,62.3,69,86.3
Science 30,,All,3310,Exam Mark,45,72.5,66.3,64,75
Social Studies 30-1,,All,3310,% Acceptable,null,100,100,90,100
Social Studies 30-1,,All,3310,% Excellence,null,0,0,0,20
Social Studies 30-1,,All,3310,Course Mark,null,72.8,64,65.7,84
Social Studies 30-1,,All,3310,Exam Mark,null,58.5,54,59.1,61.2
Social Studies 30-2,,All,3310,% Acceptable,null,91.7,100,94.4,100
Social Studies 30-2,,All,3310,% Excellence,null,8.3,9.5,5.6,40
Social Studies 30-2,,All,3310,Course Mark,null,62.5,63.2,65.3,80
Social Studies 30-2,,All,3310,Exam Mark,null,60.8,62.2,63.1,65.6
Biology 30,,All,3311,% Acceptable,89.7,93.8,88.7,92.4,97.8
Biology 30,,All,3311,% Excellence,14.7,17.2,19.4,25.8,30.4
Biology 30,,All,3311,Course Mark,67.5,70.6,69.6,70.2,75
Biology 30,,All,3311,Exam Mark,59.3,63.9,63.5,65.5,69
Chemistry 30,,All,3311,% Acceptable,83.6,91.2,90.6,74.5,91.4
Chemistry 30,,All,3311,% Excellence,10.9,28.1,17,21.6,24.1
Chemistry 30,,All,3311,Course Mark,66.5,71.5,68.8,63.4,72.2
Chemistry 30,,All,3311,Exam Mark,58.6,64.3,62.8,60,64.3
English Lang Arts 30-1,,All,3311,% Acceptable,93.6,96.1,93.9,98.2,95.6
English Lang Arts 30-1,,All,3311,% Excellence,4.3,9.8,6.1,9.2,6.7
English Lang Arts 30-1,,All,3311,Course Mark,65.2,71.3,68.7,75.8,73.6
English Lang Arts 30-1,,All,3311,Exam Mark,57.1,59.1,59.9,57.9,58.9
English Lang Arts 30-2,,All,3311,% Acceptable,90,97.5,98.4,98,97.4
English Lang Arts 30-2,,All,3311,% Excellence,0,10,14.8,6.1,5.3
English Lang Arts 30-2,,All,3311,Course Mark,58.9,69.7,73,69.5,69.1
English Lang Arts 30-2,,All,3311,Exam Mark,60.7,65.4,65,64,63.6
Mathematics 30-1,,All,3311,% Acceptable,null,null,null,81,90.6
Mathematics 30-1,,All,3311,% Excellence,null,null,null,27,28.1
Mathematics 30-1,,All,3311,Course Mark,null,null,null,69.1,76.1
Mathematics 30-1,,All,3311,Exam Mark,null,null,null,59.5,60.4
Mathematics 30-2,,All,3311,% Acceptable,null,null,null,93.2,91.7
Mathematics 30-2,,All,3311,% Excellence,null,null,null,4.5,5.6
Mathematics 30-2,,All,3311,Course Mark,null,null,null,63.1,63.6
Mathematics 30-2,,All,3311,Exam Mark,null,null,null,58.5,62.1
Physics 30,,All,3311,% Acceptable,76,84,85.2,71.4,77.8
Physics 30,,All,3311,% Excellence,8,28,14.8,35.7,16.7
Physics 30,,All,3311,Course Mark,66.4,69.8,64.1,65.5,67.8
Physics 30,,All,3311,Exam Mark,53.8,62.6,59,62.1,62.7
Science 30,,All,3311,% Acceptable,100,90.9,null,91.7,93.3
Science 30,,All,3311,% Excellence,0,9.1,null,12.5,20
